ID	Title	Image	Released	DVD	Blu-ray
tt6348138	Missing Link	https://image.tmdb.org/t/p/original//gEkKHiiQRVUSX15Iwo8VFydXrtu.jpg	4/4/2019	TRUE	TRUE
tt0072424	The Year Without a Santa Claus	https://image.tmdb.org/t/p/original//gc5vz1sZXk1DilIzkQLZ2ujuiWQ.jpg	12/10/1974	TRUE	FALSE
tt0108526	We're Back! A Dinosaur's Story	https://image.tmdb.org/t/p/original//iyFmhYlioe3PDZjSKWtcIhu5R02.jpg	11/24/1993	TRUE	FALSE
tt3521164	Moana	https://image.tmdb.org/t/p/original//4JeejGugONWpJkbnvL12hVoYEDa.jpg	10/13/2016	TRUE	TRUE
tt0398286	Tangled	https://image.tmdb.org/t/p/original//ym7Kst6a4uodryxqbGOxmewF235.jpg	11/24/2010	TRUE	TRUE
tt5971474	The Little Mermaid	https://image.tmdb.org/t/p/original//ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg	5/18/2023	TRUE	TRUE
tt0095489	The Land Before Time	https://image.tmdb.org/t/p/original//7phV1ETZnQrLsEeuk4hNeceEl25.jpg	11/18/1988	TRUE	FALSE
tt0114709	Toy Story	https://image.tmdb.org/t/p/original//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg	10/30/1995	TRUE	FALSE
tt0268397	Jimmy Neutron: Boy Genius	https://image.tmdb.org/t/p/original//pUwdquA6Bf3Gq8yT5iQL1Yq0jkl.jpg	12/14/2001	FALSE	TRUE
tt0058536	Rudolph the Red-Nosed Reindeer	https://image.tmdb.org/t/p/original//xjAElUhXuc7zFJPj3qUHjcySNsE.jpg	12/6/1964	TRUE	FALSE
tt0134067	The Rugrats Movie	https://image.tmdb.org/t/p/original//uZejGKCSd6nwfMx8U0Td37U2fTc.jpg	11/20/1998	TRUE	FALSE
tt0096787	All Dogs Go to Heaven	https://image.tmdb.org/t/p/original//nmWh1NglDinfkHD9zCNqGWyhl7Q.jpg	11/17/1989	TRUE	FALSE
tt1490017	The Lego Movie	https://image.tmdb.org/t/p/original//lbctonEnewCYZ4FYoTZhs8cidAl.jpg	2/6/2014	TRUE	FALSE
tt0876563	Ponyo	https://image.tmdb.org/t/p/original//yp8vEZflGynlEylxEesbYasc06i.jpg	7/19/2008	TRUE	TRUE
tt1648142	Sesame Street: Elmo and Abby's Birthday Fun!	https://image.tmdb.org/t/p/original//9vPdNIfvR6T8cn5xzlXNYOvFAvt.jpg	6/2/2009	TRUE	FALSE
tt0351283	Madagascar	https://image.tmdb.org/t/p/original//zMpJY5CJKUufG9OTw0In4eAFqPX.jpg	5/25/2005	TRUE	FALSE
tt0101414	Beauty and the Beast	https://image.tmdb.org/t/p/original//hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg	10/22/1991	FALSE	TRUE
tt1007920	Barbie Fairytopia: Magic of the Rainbow	https://image.tmdb.org/t/p/original//suo0EcRi0uJNRlhmNqOuDHpCSSE.jpg	3/13/2007	TRUE	FALSE
tt2948356	Zootopia	https://image.tmdb.org/t/p/original//hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg	2/11/2016	TRUE	TRUE
